run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
b76a2fa3,2026-04-02T15:17:05.855522,42,full_model,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
0064e1c6,2026-04-02T15:17:06.649472,43,full_model,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
49c4e251,2026-04-02T15:17:07.478691,44,full_model,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
b47a5db9,2026-04-02T15:17:07.790051,42,w_o_semantics,action_prior,1250,0.8488,1636.27,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
0379e4e3,2026-04-02T15:17:08.093693,43,w_o_semantics,action_prior,1250,0.8576,1657.57,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
aa6e8390,2026-04-02T15:17:08.391116,44,w_o_semantics,action_prior,1250,0.8592,1666.1,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
64f152d4,2026-04-02T15:17:09.221655,42,w_o_reward_shaping,action_prior,1250,0.8488,-57.84,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
028d55ee,2026-04-02T15:17:10.044357,43,w_o_reward_shaping,action_prior,1250,0.8576,-57.61,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
636be469,2026-04-02T15:17:10.863480,44,w_o_reward_shaping,action_prior,1250,0.8592,-57.48,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
d688a143,2026-04-02T15:17:11.648154,42,w_o_semantic_prior,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
e239935f,2026-04-02T15:17:12.446444,43,w_o_semantic_prior,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
7e98568f,2026-04-02T15:17:13.226841,44,w_o_semantic_prior,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
54892a87,2026-04-02T15:17:14.029388,42,w_o_confidence,action_prior,1250,0.8488,1598.59,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
d191e759,2026-04-02T15:17:14.842856,43,w_o_confidence,action_prior,1250,0.8576,1634.22,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
e1d6ac7a,2026-04-02T15:17:15.717342,44,w_o_confidence,action_prior,1250,0.8592,1599.4,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
03c4cc2e,2026-04-02T15:17:16.556423,42,w_o_partial_offloading,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
7da56425,2026-04-02T15:17:17.425082,43,w_o_partial_offloading,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
bfe9ab13,2026-04-02T15:17:18.245679,44,w_o_partial_offloading,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
31266410,2026-04-02T15:17:19.087320,42,w_o_battery_awareness,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
294c6165,2026-04-02T15:17:19.912272,43,w_o_battery_awareness,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
6e1b8a89,2026-04-02T15:17:20.759462,44,w_o_battery_awareness,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
825cd13c,2026-04-02T15:17:21.600646,42,w_o_queue_awareness,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
ed1998f7,2026-04-02T15:17:22.402162,43,w_o_queue_awareness,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
14555708,2026-04-02T15:17:23.220220,44,w_o_queue_awareness,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
dc2aaa08,2026-04-02T15:17:24.089271,42,w_o_mobility_features,action_prior,1250,0.7688,669.28,2.5779,0.2473,63.99,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
10ad1447,2026-04-02T15:17:24.911913,43,w_o_mobility_features,action_prior,1250,0.7672,634.31,2.642,0.2627,63.51,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
729f0c43,2026-04-02T15:17:25.710977,44,w_o_mobility_features,action_prior,1250,0.736,534.9,2.6243,0.2565,60.48,synthetic_ablation_ppo_eval_20260402_151704,synthetic_ablation_evaluation
